	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	14	15187		1531		1506		25		13681
	15	13681		1531		1508		23		12173
	16	12173		1531		1511		20		10662
	17	10662		1531		1513		18		9149
	18	9149		1531		1516		15		7633
	19	7633		1531		1518		13		6115
	20	6115		1531		1521		10		4594
	21	4594		1531		1523		8		3071
	22	3071		1531		1526		5		1545
	23	1545		1531		1528		3		16

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	123324		4406		3173		1233		120151
	2	120151		4406		3204		1202		116947
	3	116947		4406		3237		1169		113710
	4	113710		4406		3269		1137		110441
	5	110441		4406		3302		1104		107140
	6	107140		4406		3335		1071		103805
	7	103805		4406		3368		1038		100437
	8	100437		4406		3402		1004		97036
	9	97036		4406		3436		970		93600
	10	93600		4406		3470		936		90130
	11	90130		4406		3505		901		86625
	12	86625		4406		3540		866		83085
	13	83085		4406		3575		831		79510
	14	79510		4406		3611		795		75899
	15	75899		4406		3647		759		72252
	16	72252		4406		3683		723		68569
	17	68569		4406		3720		686		64849
	18	64849		4406		3758		648		61091
	19	61091		4406		3795		611		57296
	20	57296		4406		3833		573		53463
	21	53463		4406		3871		535		49592
	22	49592		4406		3910		496		45682
	23	45682		4406		3949		457		41732
	24	41732		4406		3989		417		37744
	25	37744		4406		4029		377		33715
	26	33715		4406		4069		337		29646
	27	29646		4406		4110		296		25537
	28	25537		4406		4151		255		21386
	29	21386		4406		4192		214		17194
	30	17194		4406		4234		172		12960
	31	12960		4406		4276		130		8683
	32	8683		4406		4319		87		4364
	33	4364		4406		4362		44		2

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	34343		1927		1269		658		33074
	2	33074		1927		1293		634		31781
	3	31781		1927		1318		609		30463
	4	30463		1927		1343		584		29120
	5	29120		1927		1369		558		27751
	6	27751		1927		1395		532		26356
	7	26356		1927		1422		505		24934
	8	24934		1927		1449		478		23485
	9	23485		1927		1477		450		22008
	10	22008		1927		1505		422		20503
	11	20503		1927		1534		393		18969
	12	18969		1927		1563		364		17406
	13	17406		1927		1593		334		15812
	14	15812		1927		1624		303		14188
	15	14188		1927		1655		272		12533
	16	12533		1927		1687		240		10847
	17	10847		1927		1719		208		9128
	18	9128		1927		1752		175		7376
	19	7376		1927		1786		141		5590
	20	5590		1927		1820		107		3770
	21	3770		1927		1855		72		1915
	22	1915		1927		1890		37		25

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	12321		1188		1065		123		11256
	2	11256		1188		1075		113		10181
	3	10181		1188		1086		102		9095
	4	9095		1188		1097		91		7998
	5	7998		1188		1108		80		6890
	6	6890		1188		1119		69		5770
	7	5770		1188		1130		58		4640
	8	4640		1188		1142		46		3499
	9	3499		1188		1153		35		2345
	10	2345		1188		1165		23		1181
	11	1181		1188		1176		12		5

	No.	B.Balance	EMI	    principle	   Interest	Ending Balance
	1	10000		964		864		100		9136
	2	9136		964		873		91		8263
	3	8263		964		881		83		7382
	4	7382		964		890		74		6492
	5	6492		964		899		65		5593
	6	5593		964		908		56		4685
	7	4685		964		917		47		3768
	8	3768		964		926		38		2841
	9	2841		964		936		28		1906
	10	1906		964		945		19		961
	11	961		964		954		10		6

